oil_gas,district,lease_no,gas_mcf_d,oil_bbl_d,window,months_present
G,10,286661,928.04,187.2,202512-202605,6
G,10,287289,20.1,0.08,202512-202605,6
G,10,288459,256.33,53.88,202512-202605,6
G,10,289388,0.0,0.0,202512-202605,6
G,10,289609,0.0,0.0,202512-202605,6
G,10,290089,322.96,33.91,202512-202605,6
G,10,290108,325.93,40.22,202512-202605,6
G,10,290492,292.67,26.21,202512-202605,6
G,10,291530,291.89,59.31,202512-202605,6
G,10,291531,381.13,52.66,202512-202605,6
G,10,286681,120.38,26.99,202512-202605,6
G,10,286692,129.21,15.05,202512-202605,6
G,10,288249,305.43,23.59,202512-202605,6
G,10,288604,154.05,27.78,202512-202605,6
G,10,288607,160.0,36.83,202512-202605,6
G,10,289514,17.41,0.07,202512-202605,6
G,10,290408,85.22,23.27,202512-202605,6
G,10,290425,215.37,14.73,202512-202605,6
G,10,290585,343.52,31.16,202512-202605,6
G,10,291406,493.8,42.47,202512-202605,6
G,10,291533,362.1,34.25,202512-202605,6
G,10,292025,675.92,16.84,202512-202605,6
G,10,292040,354.44,9.9,202512-202605,6
G,10,296579,423.23,44.07,202512-202605,6
G,10,296802,726.31,78.01,202512-202605,6
G,10,297314,616.83,80.68,202512-202605,6
G,10,297721,351.42,29.23,202512-202605,6
G,10,297753,432.38,28.75,202512-202605,6
G,10,297842,813.02,71.85,202512-202605,6
G,10,298196,1066.81,112.1,202512-202605,6
G,10,298968,1115.56,79.62,202512-202605,6
G,10,299656,1580.99,242.66,202512-202605,6
G,10,299706,37.88,9.75,202512-202605,6
G,10,299754,1428.53,401.9,202512-202605,6
G,10,299939,1679.21,204.18,202512-202605,6
G,10,300024,1085.96,214.26,202512-202605,6
G,10,020610,11.37,0.0,202512-202605,6
G,10,020639,9.69,0.0,202512-202605,6
G,10,058100,15.88,0.0,202512-202605,6
G,10,059689,0.0,0.0,202512-202605,6
G,09,095641,0.0,0.0,202512-202605,6
G,10,075302,0.0,0.0,202512-202605,2
G,10,077696,0.0,0.0,202512-202605,6
G,10,272207,239.36,0.49,202512-202605,6
G,10,273718,198.81,12.34,202512-202605,6
G,10,276751,0.0,0.0,202512-202605,6
G,10,278122,176.51,15.98,202512-202605,6
G,10,279256,96.96,9.06,202512-202605,6
G,10,279453,197.9,13.01,202512-202605,6
G,10,293402,465.04,30.07,202512-202605,6
G,10,293962,125.02,27.5,202512-202605,6
G,10,294720,80.46,6.42,202512-202605,6
G,10,294847,0.0,0.0,202512-202605,6
G,10,295048,0.0,0.0,202512-202605,6
G,10,295306,590.35,27.45,202512-202605,6
G,10,295375,224.68,41.5,202512-202605,6
G,10,295839,450.47,55.63,202512-202605,6
G,10,295992,2057.73,21.09,202512-202605,6
G,10,296172,695.31,46.39,202512-202605,6
G,10,296668,211.94,22.41,202512-202605,6
G,10,296862,478.89,43.38,202512-202605,6
G,10,296885,997.13,106.55,202512-202605,6
G,10,298199,1153.9,101.79,202512-202605,6
G,10,298905,394.2,53.97,202512-202605,6
G,10,299400,1449.23,131.46,202512-202605,6
G,10,299403,762.92,156.64,202512-202605,6
G,10,299411,666.73,106.43,202512-202605,6
G,10,299657,788.29,175.67,202512-202605,6
G,10,299665,1092.71,217.29,202512-202605,6
G,10,299940,903.65,175.73,202512-202605,6
G,10,300086,219.58,29.3,202512-202605,6
G,10,289493,364.84,80.31,202512-202605,6
G,10,289764,0.0,0.0,202512-202605,6
G,10,289802,0.0,0.0,202512-202605,6
G,10,289803,0.0,0.0,202512-202605,6
G,10,289943,0.0,0.0,202512-202605,6
G,10,290105,671.27,49.54,202512-202605,6
G,10,290343,401.87,14.69,202512-202605,6
G,10,290446,688.52,31.02,202512-202605,6
G,10,290482,252.1,18.4,202512-202605,6
G,10,290556,401.26,50.12,202512-202605,6
G,10,290719,249.82,26.15,202512-202605,6
G,10,291444,277.07,29.63,202512-202605,6
G,10,291604,263.86,80.37,202512-202605,6
G,10,291616,287.71,45.85,202512-202605,6
G,10,291603,233.59,36.61,202512-202605,6
G,10,292310,270.78,65.24,202512-202605,6
G,10,292595,156.57,4.45,202512-202605,6
G,10,293206,563.7,29.1,202512-202605,6
G,10,295351,247.75,57.69,202512-202605,6
G,10,295825,659.84,50.39,202512-202605,6
G,10,296103,894.76,63.46,202512-202605,6
G,10,296261,0.0,0.0,202512-202605,6
G,10,296700,991.84,47.8,202512-202605,6
G,10,296833,611.38,78.05,202512-202605,6
G,10,297119,598.75,52.48,202512-202605,6
G,10,297484,468.09,67.25,202512-202605,6
G,10,297836,1790.99,56.11,202512-202605,6
G,10,292061,755.8,73.21,202512-202605,6
G,10,292766,662.59,19.98,202512-202605,6
G,10,293350,402.32,31.08,202512-202605,6
G,10,293353,716.18,27.59,202512-202605,6
G,10,294002,370.53,61.14,202512-202605,6
G,10,295038,0.0,0.0,202512-202605,6
G,10,295349,411.31,23.95,202512-202605,6
G,10,295837,826.07,57.84,202512-202605,6
G,10,296110,725.59,40.74,202512-202605,6
G,10,296117,853.68,80.86,202512-202605,6
G,10,296259,302.69,6.48,202512-202605,6
G,10,296580,538.24,41.79,202512-202605,6
G,10,296781,1047.86,76.75,202512-202605,6
G,10,296826,462.94,54.83,202512-202605,6
G,10,300196,1151.66,200.61,202512-202605,6
G,10,300408,0.0,0.0,202512-202605,6
G,10,300951,0.0,0.0,202512-202605,6
G,10,301004,0.0,0.0,202512-202605,6
G,10,279638,143.83,14.31,202512-202605,6
G,10,281635,74.99,1.56,202512-202605,6
G,10,282025,208.03,32.61,202512-202605,6
G,10,283441,109.37,10.31,202512-202605,6
G,10,283932,247.95,27.97,202512-202605,6
G,10,284079,190.74,25.49,202512-202605,6
G,10,284353,148.04,26.68,202512-202605,6
G,10,285430,453.79,68.6,202512-202605,6
G,10,285514,390.36,13.83,202512-202605,6
G,10,286025,447.35,33.39,202512-202605,6
G,10,286084,172.71,18.03,202512-202605,6
G,10,286362,61.23,14.69,202512-202605,6
G,10,288599,0.0,0.0,202512-202605,6
G,10,297040,1064.37,84.25,202512-202605,6
G,10,297120,579.8,56.6,202512-202605,6
G,10,297831,1151.68,87.54,202512-202605,6
G,10,297940,1223.98,82.8,202512-202605,6
G,10,297948,1350.18,87.05,202512-202605,6
G,10,298161,1597.47,58.29,202512-202605,6
G,10,298200,862.32,70.98,202512-202605,6
G,10,298221,0.0,0.0,202512-202605,6
G,10,298748,504.92,110.75,202512-202605,6
G,10,299488,0.0,0.0,202512-202605,6
G,10,299531,918.81,193.67,202512-202605,6
G,10,299664,694.32,192.69,202512-202605,6
G,10,299790,627.42,153.84,202512-202605,6
G,10,299803,1334.51,195.56,202512-202605,6
G,10,053142,0.0,0.0,202512-202605,6
G,10,134188,0.0,0.0,202512-202605,6
G,10,213593,0.0,0.0,202512-202605,6
G,10,267104,0.0,0.0,202512-202605,6
G,10,271198,200.14,7.59,202512-202605,6
G,10,277117,142.33,12.83,202512-202605,6
G,10,278214,191.32,19.76,202512-202605,6
G,10,278215,73.47,11.39,202512-202605,6
G,10,278235,61.23,1.58,202512-202605,6
G,10,278514,128.0,27.79,202512-202605,6
G,10,278915,174.2,43.03,202512-202605,6
G,10,279167,137.14,23.82,202512-202605,6
G,10,279233,156.99,14.92,202512-202605,6
G,10,291824,215.26,17.46,202512-202605,6
G,10,295851,476.33,58.19,202512-202605,6
G,10,296060,502.77,12.16,202512-202605,6
G,10,296215,471.02,44.34,202512-202605,6
G,10,296304,625.41,50.7,202512-202605,6
G,10,296565,522.43,38.9,202512-202605,6
G,10,296699,559.85,55.37,202512-202605,6
G,10,297486,466.77,71.9,202512-202605,6
G,10,297916,569.02,82.37,202512-202605,6
G,10,297918,536.7,41.42,202512-202605,6
G,10,298225,225.1,27.43,202512-202605,6
G,10,298401,1061.6,102.16,202512-202605,6
G,10,298406,935.81,88.66,202512-202605,6
G,10,299728,1052.58,200.99,202512-202605,6
G,10,297870,706.7,49.32,202512-202605,6
G,10,298152,1234.69,59.23,202512-202605,6
G,10,298190,319.49,39.63,202512-202605,6
G,10,298359,53.72,9.46,202512-202605,6
G,10,298430,370.52,50.0,202512-202605,6
G,10,298869,573.52,107.09,202512-202605,6
G,10,298906,621.02,73.2,202512-202605,6
G,10,299052,421.03,104.49,202512-202605,6
G,10,300025,0.0,0.0,202512-202605,6
G,10,300168,870.03,142.02,202512-202605,6
G,10,300800,0.0,0.0,202512-202605,6
G,10,301109,0.0,0.0,202512-202605,6
G,10,301242,0.0,0.0,202512-202605,6
G,10,297339,555.9,44.91,202512-202605,6
G,10,297393,402.74,56.78,202512-202605,6
G,10,297609,1173.58,98.42,202512-202605,6
G,10,297848,765.71,65.05,202512-202605,6
G,10,297955,771.86,68.62,202512-202605,6
G,10,298167,58.62,29.4,202512-202605,6
G,10,298179,192.12,44.82,202512-202605,6
G,10,298444,429.92,90.18,202512-202605,6
G,10,298749,1024.32,71.93,202512-202605,6
G,10,298750,917.32,136.62,202512-202605,6
G,10,298942,506.3,53.23,202512-202605,6
G,10,299057,614.03,120.84,202512-202605,6
G,10,299296,806.56,63.39,202512-202605,6
G,10,289693,260.87,8.32,202512-202605,6
G,10,290209,325.41,7.48,202512-202605,6
G,10,290555,361.68,33.16,202512-202605,6
G,10,290591,154.69,16.58,202512-202605,6
G,10,292938,794.48,35.02,202512-202605,6
G,10,293596,727.93,39.83,202512-202605,6
G,10,295068,0.0,0.0,202512-202605,6
G,10,295350,591.34,34.12,202512-202605,6
G,10,295376,286.23,40.86,202512-202605,6
G,10,295829,356.42,35.44,202512-202605,6
G,10,296137,854.2,91.55,202512-202605,6
G,10,296568,613.92,36.94,202512-202605,6
G,10,296578,837.09,67.01,202512-202605,6
G,10,297065,560.13,59.31,202512-202605,6
G,10,020636,5.9,0.0,202512-202605,6
G,10,054361,0.0,0.0,202512-202605,6
G,10,172596,0.0,0.0,202512-202605,6
G,10,299948,1559.88,124.52,202512-202605,6
G,10,300657,0.0,0.0,202512-202605,6
G,10,300848,0.0,0.0,202512-202605,6
G,10,300922,0.0,0.0,202512-202605,6
G,10,301179,0.0,0.0,202512-202605,6
G,10,282023,180.23,22.62,202512-202605,6
G,10,285100,74.3,17.8,202512-202605,6
G,10,285108,108.21,45.93,202512-202605,6
G,10,287067,274.75,25.84,202512-202605,6
G,10,287290,77.76,0.54,202512-202605,6
G,10,288467,148.21,18.7,202512-202605,6
G,10,288477,473.97,82.7,202512-202605,6
G,10,289020,319.33,38.43,202512-202605,6
G,10,289028,317.13,30.6,202512-202605,6
G,10,289695,240.83,7.55,202512-202605,6
G,10,290107,363.77,51.6,202512-202605,6
G,10,290254,337.13,12.41,202512-202605,6
G,10,290329,289.19,16.33,202512-202605,6
G,10,299755,1200.52,127.35,202512-202605,6
G,10,299950,1957.78,520.54,202512-202605,6
G,10,300140,318.31,57.5,202512-202605,6
G,10,300271,562.02,144.96,202512-202605,6
G,10,300568,0.0,0.0,202512-202605,6
G,10,300584,0.0,0.0,202512-202605,6
G,10,301068,0.0,0.0,202512-202605,6
G,10,299659,927.63,187.11,202512-202605,6
G,10,299707,37.88,9.75,202512-202605,6
G,10,300801,0.0,0.0,202512-202605,6
G,10,300920,0.0,0.0,202512-202605,6
G,10,301180,0.0,0.0,202512-202605,6
G,10,301270,0.0,0.0,202512-202605,6
G,10,297078,856.75,90.28,202512-202605,6
G,10,297315,381.92,49.62,202512-202605,6
G,10,297347,349.16,45.1,202512-202605,6
G,10,297821,782.98,41.28,202512-202605,6
G,10,298782,694.41,131.93,202512-202605,6
G,10,298812,1023.77,206.9,202512-202605,6
G,10,298978,638.05,119.86,202512-202605,6
G,10,299056,293.38,67.8,202512-202605,6
G,10,299247,704.27,138.64,202512-202605,6
G,10,299533,874.47,143.57,202512-202605,6
G,10,299731,154.69,16.59,202512-202605,6
G,10,299771,1079.42,126.46,202512-202605,6
G,10,299827,203.15,35.77,202512-202605,6
G,10,270685,0.0,0.0,202512-202605,6
G,10,276637,0.0,0.0,202512-202605,6
G,10,277719,125.59,30.55,202512-202605,6
G,10,278216,91.75,23.92,202512-202605,6
G,10,278999,143.47,20.95,202512-202605,6
G,10,282655,13.31,0.05,202512-202605,6
G,10,282846,76.88,13.81,202512-202605,6
G,10,283151,0.0,0.0,202512-202605,6
G,10,283218,133.08,16.82,202512-202605,6
G,10,283219,78.75,14.42,202512-202605,6
G,10,283253,182.04,14.32,202512-202605,6
G,10,283596,55.19,6.23,202512-202605,6
G,10,283729,188.26,21.03,202512-202605,6
G,10,283838,152.57,20.42,202512-202605,6
G,10,020648,5.18,0.0,202512-202605,6
G,10,066464,0.0,0.0,202512-202605,6
G,10,094682,57.18,0.0,202512-202605,6
G,10,171292,0.0,0.0,202512-202605,2
G,10,254656,192.7,0.0,202512-202605,6
G,10,268786,169.45,6.37,202512-202605,6
G,10,278120,194.37,15.28,202512-202605,6
G,10,279512,0.0,0.0,202512-202605,6
G,10,279609,161.35,22.49,202512-202605,6
G,10,282448,115.57,18.51,202512-202605,6
G,10,283220,36.23,6.19,202512-202605,6
G,10,284082,185.43,36.15,202512-202605,6
G,10,291607,230.23,33.12,202512-202605,6
G,10,291860,90.7,2.21,202512-202605,6
G,10,291954,525.03,16.87,202512-202605,6
G,10,292060,502.3,25.86,202512-202605,6
G,10,292681,72.74,3.32,202512-202605,6
G,10,293358,449.23,33.97,202512-202605,6
G,10,293455,164.87,14.16,202512-202605,6
G,10,294722,635.37,50.59,202512-202605,6
G,10,295347,240.46,53.6,202512-202605,6
G,10,295472,734.55,50.42,202512-202605,6
G,10,296825,740.92,79.78,202512-202605,6
G,10,297605,335.31,38.95,202512-202605,6
G,10,297850,882.56,61.41,202512-202605,6
G,10,298177,148.15,39.58,202512-202605,6
G,10,299886,320.94,60.77,202512-202605,6
G,10,299945,1575.39,198.17,202512-202605,6
G,10,300026,1432.95,239.62,202512-202605,6
G,10,300087,259.12,34.68,202512-202605,6
G,10,300167,1459.72,265.36,202512-202605,6
G,10,300170,1843.31,249.9,202512-202605,6
G,10,300268,246.01,49.74,202512-202605,6
G,10,300282,1633.07,428.92,202512-202605,6
G,10,301182,0.0,0.0,202512-202605,6
G,10,301216,0.0,0.0,202512-202605,6
G,10,285099,138.54,21.99,202512-202605,6
G,10,285126,82.29,14.75,202512-202605,6
G,10,285795,411.97,3.92,202512-202605,6
G,10,286240,429.9,26.96,202512-202605,6
G,10,286372,34.59,5.96,202512-202605,6
G,10,286614,612.25,49.44,202512-202605,6
G,10,286655,264.69,5.64,202512-202605,6
G,10,286687,32.49,8.54,202512-202605,6
G,10,288176,168.11,46.7,202512-202605,6
G,10,288300,101.54,12.11,202512-202605,6
G,10,288318,327.52,22.69,202512-202605,6
G,10,288727,0.0,0.0,202512-202605,6
G,10,289691,0.0,0.0,202512-202605,6
G,10,290077,0.0,0.0,202512-202605,6
G,10,284095,24.31,5.51,202512-202605,6
G,10,284255,271.51,26.65,202512-202605,6
G,10,285512,185.64,38.66,202512-202605,6
G,10,286127,292.82,32.61,202512-202605,6
G,10,286968,120.12,8.94,202512-202605,6
G,10,287107,386.88,3.36,202512-202605,6
G,10,287705,147.41,30.9,202512-202605,6
G,10,287931,106.13,13.01,202512-202605,6
G,10,288922,325.35,37.37,202512-202605,6
G,10,291159,294.74,21.27,202512-202605,6
G,10,291931,389.34,6.86,202512-202605,6
G,10,291933,270.41,16.34,202512-202605,6
G,10,292772,463.53,7.95,202512-202605,6
G,10,293368,4.85,16.6,202512-202605,6
G,10,298212,1193.35,124.33,202512-202605,6
G,10,298400,509.53,99.11,202512-202605,6
G,10,298886,533.01,107.25,202512-202605,6
G,10,298969,865.46,194.95,202512-202605,6
G,10,299120,181.34,33.16,202512-202605,6
G,10,299404,829.24,162.24,202512-202605,6
G,10,299413,945.51,147.9,202512-202605,6
G,10,299828,293.77,36.19,202512-202605,6
G,10,299910,1828.21,299.51,202512-202605,6
G,10,300138,907.66,194.81,202512-202605,6
G,10,300139,1931.93,491.92,202512-202605,6
G,10,300306,1096.93,163.46,202512-202605,6
G,10,300958,0.0,0.0,202512-202605,6
G,10,020611,5.44,0.0,202512-202605,6
G,10,020637,9.32,0.0,202512-202605,6
G,10,020643,22.55,0.0,202512-202605,6
G,10,020645,2.3,0.0,202512-202605,6
G,10,290308,561.79,47.75,202512-202605,6
G,10,290387,416.36,23.9,202512-202605,6
G,10,290576,458.0,32.33,202512-202605,6
G,10,290750,0.0,0.0,202512-202605,6
G,10,291602,153.97,30.06,202512-202605,6
G,10,291879,309.55,24.8,202512-202605,6
G,10,293064,583.82,29.1,202512-202605,6
G,10,293155,555.02,49.64,202512-202605,6
G,10,293370,457.89,25.84,202512-202605,6
G,10,293959,208.56,27.88,202512-202605,6
G,10,294027,299.4,53.52,202512-202605,6
G,10,294858,269.39,41.86,202512-202605,6
G,10,295352,344.69,76.31,202512-202605,6
G,10,293403,761.84,41.7,202512-202605,6
G,10,293598,356.48,201.45,202512-202605,6
G,10,295353,345.6,79.34,202512-202605,6
G,10,296138,964.3,66.89,202512-202605,6
G,10,296581,459.71,35.3,202512-202605,6
G,10,297278,893.45,59.35,202512-202605,6
G,10,297837,979.15,61.12,202512-202605,6
G,10,298192,40.21,15.23,202512-202605,6
G,10,298407,679.03,147.75,202512-202605,6
G,10,298424,924.63,104.81,202512-202605,6
G,10,298810,1093.85,84.41,202512-202605,6
G,10,299054,535.99,107.18,202512-202605,6
G,10,299251,760.1,148.24,202512-202605,6
G,10,020653,13.0,0.0,202512-202605,6
G,10,034081,12.88,0.01,202512-202605,6
G,10,153198,0.0,0.0,202512-202605,6
G,10,192987,0.0,0.0,202512-202605,6
G,10,135752,0.0,0.0,202512-202605,6
G,10,139192,0.0,0.0,202512-202605,6
G,10,139649,15.65,0.64,202512-202605,6
G,10,075479,0.0,0.0,202512-202605,6
G,10,275255,97.2,23.76,202512-202605,6
G,10,276866,285.62,21.98,202512-202605,6
G,10,278251,96.27,15.55,202512-202605,6
G,10,278515,0.0,0.0,202512-202605,6
G,10,278911,146.51,20.15,202512-202605,6
G,10,279200,127.36,37.4,202512-202605,6
G,10,280224,138.11,15.52,202512-202605,6
G,10,283036,119.7,5.46,202512-202605,6
G,10,295560,691.52,105.66,202512-202605,6
G,10,295588,695.15,135.39,202512-202605,6
G,10,295822,420.74,36.74,202512-202605,6
G,10,296249,0.0,0.0,202512-202605,6
G,10,296803,1539.45,150.55,202512-202605,6
G,10,297015,445.15,64.23,202512-202605,6
G,10,297592,749.07,79.43,202512-202605,6
G,10,297752,346.26,19.2,202512-202605,6
G,10,297917,891.64,118.96,202512-202605,6
G,10,298201,1171.32,105.12,202512-202605,6
G,10,298409,621.98,138.69,202512-202605,6
G,10,298907,718.96,63.62,202512-202605,6
G,10,298977,669.16,116.26,202512-202605,6
G,10,299198,594.34,95.65,202512-202605,6
G,10,299298,705.47,36.08,202512-202605,6
G,10,299530,1488.33,127.84,202512-202605,6
G,10,299749,1186.71,262.58,202512-202605,6
G,10,299802,687.71,164.44,202512-202605,6
G,10,299919,0.0,0.0,202512-202605,6
G,10,299946,1415.46,93.95,202512-202605,6
G,10,300083,942.13,143.99,202512-202605,6
G,10,300108,0.0,0.0,202512-202605,6
G,10,300169,1387.78,257.98,202512-202605,6
G,10,300298,0.0,0.0,202512-202605,6
G,10,300405,0.0,0.0,202512-202605,6
G,10,300929,0.0,0.0,202512-202605,6
G,10,301181,0.0,0.0,202512-202605,6
G,10,275789,97.62,14.08,202512-202605,6
G,10,276071,99.6,1.99,202512-202605,6
G,10,277467,100.08,9.21,202512-202605,6
G,10,278124,217.99,16.76,202512-202605,6
G,10,278213,269.71,53.4,202512-202605,6
G,10,278241,103.57,14.41,202512-202605,6
G,10,279011,6.85,1.94,202512-202605,6
G,10,281240,225.32,12.14,202512-202605,6
G,10,281994,166.52,20.68,202512-202605,6
G,10,281998,92.42,20.73,202512-202605,6
G,10,283271,116.44,16.55,202512-202605,6
G,10,284001,194.3,25.75,202512-202605,6
G,10,285086,269.39,33.23,202512-202605,6
